YearMonth,Departures
2001M01,8655
2001M02,8067
2001M03,6915
2001M04,6021
2001M05,7101
2001M06,5664
2001M07,5511
2001M08,4776
2001M09,4932
2001M10,4239
2001M11,5415
2001M12,6831
2002M01,5778
2002M02,5085
2002M03,5778
2002M04,5505
2002M05,5718
2002M06,5460
2002M07,5508
2002M08,4767
2002M09,4791
2002M10,4455
2002M11,5586
2002M12,7386
2003M01,6135
2003M02,4899
2003M03,6072
2003M04,5097
2003M05,5502
2003M06,5388
2003M07,6030
2003M08,5481
2003M09,5133
2003M10,4692
2003M11,6912
2003M12,8868
2004M01,6414
2004M02,5892
2004M03,6375
2004M04,5940
2004M05,6426
2004M06,6660
2004M07,7110
2004M08,5658
2004M09,5754
2004M10,5091
2004M11,7344
2004M12,9915
2005M01,7014
2005M02,6300
2005M03,7056
2005M04,6867
2005M05,6657
2005M06,6642
2005M07,7446
2005M08,5895
2005M09,6468
2005M10,5889
2005M11,6558
2005M12,9768
2006M01,7125
2006M02,6012
2006M03,6552
2006M04,6615
2006M05,6870
2006M06,6990
2006M07,7254
2006M08,6402
2006M09,6591
2006M10,6000
2006M11,6732
2006M12,10161
2007M01,7677
2007M02,7011
2007M03,7434
2007M04,7257
2007M05,7692
2007M06,7590
2007M07,7752
2007M08,6906
2007M09,6882
2007M10,5928
2007M11,7866
2007M12,12114
2008M01,8319
2008M02,7740
2008M03,7632
2008M04,7728
2008M05,8238
2008M06,8322
2008M07,9012
2008M08,9324
2008M09,7419
2008M10,6792
2008M11,8220
2008M12,10380
2009M01,8160
2009M02,6825
2009M03,6999
2009M04,6138
2009M05,6366
2009M06,6450
2009M07,6849
2009M08,6042
2009M09,5691
2009M10,5187
2009M11,6813
2009M12,9132
2010M01,6969
2010M02,6933
2010M03,7386
2010M04,6747
2010M05,7467
2010M06,7359
2010M07,7674
2010M08,7053
2010M09,6792
2010M10,6636
2010M11,7671
2010M12,10797
2011M01,8718
2011M02,7662
2011M03,9576
2011M04,8439
2011M05,8553
2011M06,8181
2011M07,9390
2011M08,7938
2011M09,7143
2011M10,6990
2011M11,8388
2011M12,11763
2012M01,9255
2012M02,8163
2012M03,8910
2012M04,8064
2012M05,8169
2012M06,8562
2012M07,8817
2012M08,7866
2012M09,7089
2012M10,6321
2012M11,7842
2012M12,11214
2013M01,7998
2013M02,6903
2013M03,7659
2013M04,6978
2013M05,7137
2013M06,6960
2013M07,7338
2013M08,6345
2013M09,5742
2013M10,6018
2013M11,6387
2013M12,9036
2014M01,6477
2014M02,5589
2014M03,6087
2014M04,5592
2014M05,6390
