YearMonth,Arrivals
2014M06,9322
2014M07,11711
2014M08,11293
2014M09,11444
2014M10,11275
2014M11,11434
2014M12,12707
2015M01,13625
2015M02,12866
2015M03,11232
2015M04,9186
2015M05,9102
2015M06,9547
2015M07,12954
2015M08,11988
2015M09,12403
2015M10,12689
2015M11,12453
2015M12,13743
2016M01,14177
2016M02,14716
2016M03,11368
2016M04,9671
2016M05,9694
2016M06,9975
2016M07,13191
2016M08,11229
2016M09,12355
2016M10,12373
2016M11,12409
2016M12,13772
2017M01,14417
2017M02,14388
2017M03,11050
2017M04,9280
2017M05,9458
2017M06,10246
2017M07,13090
2017M08,11370
2017M09,11713
2017M10,11962
2017M11,12014
2017M12,13334
2018M01,14731
2018M02,13330
2018M03,11298
2018M04,9234
2018M05,9806
2018M06,9894
2018M07,14033
2018M08,11967
2018M09,12475
2018M10,13398
2018M11,13657
2018M12,15409
2019M01,16515
2019M02,15455
